           x           y
  [1,] -3.00 0.004431848
  [2,] -2.94 0.005296344
  [3,] -2.88 0.006306726
  [4,] -2.82 0.007482873
  [5,] -2.76 0.008846454
  [6,] -2.70 0.010420935
  [7,] -2.64 0.012231526
  [8,] -2.58 0.014305109
  [9,] -2.52 0.016670101
 [10,] -2.46 0.019356277
 [11,] -2.40 0.022394530
 [12,] -2.34 0.025816575
 [13,] -2.28 0.029654585
 [14,] -2.22 0.033940763
 [15,] -2.16 0.038706856
 [16,] -2.10 0.043983596
 [17,] -2.04 0.049800088
 [18,] -1.98 0.056183142
 [19,] -1.92 0.063156561
 [20,] -1.86 0.070740393
 [21,] -1.80 0.078950158
 [22,] -1.74 0.087796071
 [23,] -1.68 0.097282269
 [24,] -1.62 0.107406075
 [25,] -1.56 0.118157295
 [26,] -1.50 0.129517596
 [27,] -1.44 0.141459965
 [28,] -1.38 0.153948287
 [29,] -1.32 0.166937042
 [30,] -1.26 0.180371163
 [31,] -1.20 0.194186055
 [32,] -1.14 0.208307790
 [33,] -1.08 0.222653499
 [34,] -1.02 0.237131952
 [35,] -0.96 0.251644341
 [36,] -0.90 0.266085250
 [37,] -0.84 0.280343811
 [38,] -0.78 0.294305030
 [39,] -0.72 0.307851260
 [40,] -0.66 0.320863804
 [41,] -0.60 0.333224603
 [42,] -0.54 0.344818001
 [43,] -0.48 0.355532529
 [44,] -0.42 0.365262673
 [45,] -0.36 0.373910605
 [46,] -0.30 0.381387815
 [47,] -0.24 0.387616615
 [48,] -0.18 0.392531483
 [49,] -0.12 0.396080212
 [50,] -0.06 0.398224830
 [51,]  0.00 0.398942280
 [52,]  0.06 0.398224830
 [53,]  0.12 0.396080212
 [54,]  0.18 0.392531483
 [55,]  0.24 0.387616615
 [56,]  0.30 0.381387815
 [57,]  0.36 0.373910605
 [58,]  0.42 0.365262673
 [59,]  0.48 0.355532529
 [60,]  0.54 0.344818001
 [61,]  0.60 0.333224603
 [62,]  0.66 0.320863804
 [63,]  0.72 0.307851260
 [64,]  0.78 0.294305030
 [65,]  0.84 0.280343811
 [66,]  0.90 0.266085250
 [67,]  0.96 0.251644341
 [68,]  1.02 0.237131952
 [69,]  1.08 0.222653499
 [70,]  1.14 0.208307790
 [71,]  1.20 0.194186055
 [72,]  1.26 0.180371163
 [73,]  1.32 0.166937042
 [74,]  1.38 0.153948287
 [75,]  1.44 0.141459965
 [76,]  1.50 0.129517596
 [77,]  1.56 0.118157295
 [78,]  1.62 0.107406075
 [79,]  1.68 0.097282269
 [80,]  1.74 0.087796071
 [81,]  1.80 0.078950158
 [82,]  1.86 0.070740393
 [83,]  1.92 0.063156561
 [84,]  1.98 0.056183142
 [85,]  2.04 0.049800088
 [86,]  2.10 0.043983596
 [87,]  2.16 0.038706856
 [88,]  2.22 0.033940763
 [89,]  2.28 0.029654585
 [90,]  2.34 0.025816575
 [91,]  2.40 0.022394530
 [92,]  2.46 0.019356277
 [93,]  2.52 0.016670101
 [94,]  2.58 0.014305109
 [95,]  2.64 0.012231526
 [96,]  2.70 0.010420935
 [97,]  2.76 0.008846454
 [98,]  2.82 0.007482873
 [99,]  2.88 0.006306726
[100,]  2.94 0.005296344
[101,]  3.00 0.004431848
